# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 290:         6.891       52.274      34.80  TWENTHE
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# SP       = Percentage van de langst mogelijke zonneschijnduur; 
# 
# STN,YYYYMMDD,   SP
# 
  290,20180101,    8
  290,20180102,    4
  290,20180103,    6
  290,20180104,    0
  290,20180105,    0
  290,20180106,   10
  290,20180107,   43
  290,20180108,   78
  290,20180109,    6
  290,20180110,    4
  290,20180111,   29
  290,20180112,    0
  290,20180113,    0
  290,20180114,   21
  290,20180115,    2
  290,20180116,   27
  290,20180117,   27
  290,20180118,   10
  290,20180119,   30
  290,20180120,    0
  290,20180121,   31
  290,20180122,    0
  290,20180123,    0
  290,20180124,    3
  290,20180125,    0
  290,20180126,    0
  290,20180127,   17
  290,20180128,    7
  290,20180129,    0
  290,20180130,   60
  290,20180131,    0
  290,20180201,   14
  290,20180202,   13
  290,20180203,   11
  290,20180204,   15
  290,20180205,   13
  290,20180206,   66
  290,20180207,   90
  290,20180208,   90
  290,20180209,   81
  290,20180210,    2
  290,20180211,   38
  290,20180212,   59
  290,20180213,   87
  290,20180214,   91
  290,20180215,    0
  290,20180216,   78
  290,20180217,   62
  290,20180218,   75
  290,20180219,    6
  290,20180220,   78
  290,20180221,   88
  290,20180222,   70
  290,20180223,   89
  290,20180224,   88
  290,20180225,   84
  290,20180226,   44
  290,20180227,   70
  290,20180228,   75
  290,20180301,   78
  290,20180302,   82
  290,20180303,   37
  290,20180304,   43
  290,20180305,   80
  290,20180306,   51
  290,20180307,   39
  290,20180308,   34
  290,20180309,   41
  290,20180310,   15
  290,20180311,   13
  290,20180312,   28
  290,20180313,    0
  290,20180314,   39
  290,20180315,   70
  290,20180316,    0
  290,20180317,   18
  290,20180318,   61
  290,20180319,   91
  290,20180320,   87
  290,20180321,   17
  290,20180322,    4
  290,20180323,    0
  290,20180324,   36
  290,20180325,    7
  290,20180326,   21
  290,20180327,   13
  290,20180328,    1
  290,20180329,   33
  290,20180330,   39
  290,20180331,   47
  290,20180401,   19
  290,20180402,    8
  290,20180403,   43
  290,20180404,   12
  290,20180405,   26
  290,20180406,   87
  290,20180407,   85
  290,20180408,   45
  290,20180409,   17
  290,20180410,   72
  290,20180411,   56
  290,20180412,   33
  290,20180413,   20
  290,20180414,   20
  290,20180415,   32
  290,20180416,   62
  290,20180417,   88
  290,20180418,   92
  290,20180419,   92
  290,20180420,   82
  290,20180421,   89
  290,20180422,   67
  290,20180423,   56
  290,20180424,    1
  290,20180425,   17
  290,20180426,   61
  290,20180427,   40
  290,20180428,   11
  290,20180429,   28
  290,20180430,   26
  290,20180501,   26
  290,20180502,   92
  290,20180503,   67
  290,20180504,   91
  290,20180505,   91
  290,20180506,   92
  290,20180507,   93
  290,20180508,   93
  290,20180509,   91
  290,20180510,   16
  290,20180511,   66
  290,20180512,   53
  290,20180513,   22
  290,20180514,   74
  290,20180515,   89
  290,20180516,   39
  290,20180517,   53
  290,20180518,   37
  290,20180519,   47
  290,20180520,   90
  290,20180521,   93
  290,20180522,   46
  290,20180523,   46
  290,20180524,   20
  290,20180525,   17
  290,20180526,   83
  290,20180527,   52
  290,20180528,   77
  290,20180529,   54
  290,20180530,   69
  290,20180531,   45
  290,20180601,   23
  290,20180602,   18
  290,20180603,   24
  290,20180604,   20
  290,20180605,   45
  290,20180606,   88
  290,20180607,   81
  290,20180608,    0
  290,20180609,   42
  290,20180610,   50
  290,20180611,   72
  290,20180612,    3
  290,20180613,   10
  290,20180614,   37
  290,20180615,   27
  290,20180616,   26
  290,20180617,   24
  290,20180618,   14
  290,20180619,    2
  290,20180620,   64
  290,20180621,   45
  290,20180622,   39
  290,20180623,   39
  290,20180624,    3
  290,20180625,   52
  290,20180626,   58
  290,20180627,   81
  290,20180628,   85
  290,20180629,   93
  290,20180630,   93
  290,20180701,   93
  290,20180702,   93
  290,20180703,   93
  290,20180704,   79
  290,20180705,   88
  290,20180706,   55
  290,20180707,   89
  290,20180708,   85
  290,20180709,    6
  290,20180710,   33
  290,20180711,   31
  290,20180712,   55
  290,20180713,   65
  290,20180714,   86
  290,20180715,   92
  290,20180716,   91
  290,20180717,   75
  290,20180718,   57
  290,20180719,   21
  290,20180720,   71
  290,20180721,   57
  290,20180722,   46
  290,20180723,   92
  290,20180724,   85
  290,20180725,   70
  290,20180726,   79
  290,20180727,   90
  290,20180728,   44
  290,20180729,   29
  290,20180730,   53
  290,20180731,   56
  290,20180801,   57
  290,20180802,   88
  290,20180803,   92
  290,20180804,   70
  290,20180805,   85
  290,20180806,   91
  290,20180807,   89
  290,20180808,   15
  290,20180809,   36
  290,20180810,   62
  290,20180811,   79
  290,20180812,   40
  290,20180813,   20
  290,20180814,   37
  290,20180815,    9
  290,20180816,   78
  290,20180817,   44
  290,20180818,   55
  290,20180819,   63
  290,20180820,   10
  290,20180821,   13
  290,20180822,   69
  290,20180823,   23
  290,20180824,   40
  290,20180825,   29
  290,20180826,   66
  290,20180827,   13
  290,20180828,   17
  290,20180829,   37
  290,20180830,   28
  290,20180831,   36
  290,20180901,   78
  290,20180902,   85
  290,20180903,   23
  290,20180904,   56
  290,20180905,   72
  290,20180906,    7
  290,20180907,   41
  290,20180908,   42
  290,20180909,   46
  290,20180910,    5
  290,20180911,   20
  290,20180912,    2
  290,20180913,   76
  290,20180914,   84
  290,20180915,   35
  290,20180916,   65
  290,20180917,   83
  290,20180918,   92
  290,20180919,   80
  290,20180920,   64
  290,20180921,   33
  290,20180922,    8
  290,20180923,    2
  290,20180924,   81
  290,20180925,   74
  290,20180926,   71
  290,20180927,   72
  290,20180928,   52
  290,20180929,   81
  290,20180930,   61
  290,20181001,   66
  290,20181002,    7
  290,20181003,   71
  290,20181004,    3
  290,20181005,   90
  290,20181006,   78
  290,20181007,   62
  290,20181008,   71
  290,20181009,   65
  290,20181010,   90
  290,20181011,   65
  290,20181012,   90
  290,20181013,   81
  290,20181014,   79
  290,20181015,   80
  290,20181016,   85
  290,20181017,   67
  290,20181018,   34
  290,20181019,   93
  290,20181020,   61
  290,20181021,   36
  290,20181022,   53
  290,20181023,    0
  290,20181024,   17
  290,20181025,    4
  290,20181026,    0
  290,20181027,   74
  290,20181028,   52
  290,20181029,    0
  290,20181030,    3
  290,20181031,   59
  290,20181101,   15
  290,20181102,   20
  290,20181103,   82
  290,20181104,   36
  290,20181105,    0
  290,20181106,   56
  290,20181107,   74
  290,20181108,   86
  290,20181109,   53
  290,20181110,    5
  290,20181111,   15
  290,20181112,    2
  290,20181113,   32
  290,20181114,   84
  290,20181115,   84
  290,20181116,   83
  290,20181117,   86
  290,20181118,   68
  290,20181119,   19
  290,20181120,    0
  290,20181121,   20
  290,20181122,    0
  290,20181123,   58
  290,20181124,    0
  290,20181125,    0
  290,20181126,    0
  290,20181127,    0
  290,20181128,    2
  290,20181129,    0
  290,20181130,   15
  290,20181201,   33
  290,20181202,    0
  290,20181203,    6
  290,20181204,   81
  290,20181205,    6
  290,20181206,    0
  290,20181207,    0
  290,20181208,    4
  290,20181209,   23
  290,20181210,   43
  290,20181211,   58
  290,20181212,   14
  290,20181213,   17
  290,20181214,   50
  290,20181215,    0
  290,20181216,    0
  290,20181217,    0
  290,20181218,   64
  290,20181219,    0
  290,20181220,    0
  290,20181221,    0
  290,20181222,    3
  290,20181223,    0
  290,20181224,   75
  290,20181225,   39
  290,20181226,    0
  290,20181227,   18
  290,20181228,    0
  290,20181229,    0
  290,20181230,    6
  290,20181231,    0
  290,20190101,    6
